,abortion,eth,male,age,educ,repvote,region,state
1,1,Other,-0.5,50-59,Some college,0.35983750299999995,South,MD
2,1,White,-0.5,40-49,HS,0.63624343,South,TN
3,1,White,-0.5,60-69,Some college,0.542676846,North Central,OH
4,0,Other,-0.5,70+,Post-grad,0.338717892,West,CA
5,1,White,-0.5,40-49,HS,0.65670629,South,KY
6,0,White,-0.5,18-29,No HS,0.518900234,West,AZ
7,0,White,-0.5,40-49,HS,0.325586625,West,HI
8,1,White,-0.5,50-59,Some college,0.518900234,West,AZ
9,1,White,0.5,40-49,Some college,0.643741436,South,AL
10,1,Black,-0.5,18-29,Some college,0.5266117260000001,South,GA
11,1,Hispanic,0.5,50-59,No HS,0.338717892,West,CA
12,1,White,-0.5,30-39,No HS,0.63624343,South,TN
13,1,Other,-0.5,30-39,No HS,0.325586625,West,HI
14,1,White,-0.5,30-39,Post-grad,0.542676846,North Central,OH
15,0,Hispanic,-0.5,18-29,HS,0.338717892,West,CA
16,0,White,-0.5,40-49,Some college,0.519037458,South,NC
17,0,Other,-0.5,18-29,HS,0.338717892,West,CA
18,0,White,-0.5,18-29,No HS,0.542676846,North Central,OH
19,0,White,-0.5,30-39,HS,0.5037553579999999,Northeast,PA
20,1,White,-0.5,18-29,No HS,0.542676846,North Central,OH
21,0,White,0.5,18-29,4-Year College,0.382275815,Northeast,NY
22,0,White,-0.5,40-49,HS,0.63624343,South,TN
23,0,White,0.5,40-49,HS,0.5037553579999999,Northeast,PA
24,0,White,-0.5,50-59,Post-grad,0.518900234,West,AZ
25,0,White,0.5,30-39,Some college,0.382275815,Northeast,NY
26,1,Other,0.5,50-59,Some college,0.601173095,North Central,IN
27,0,Black,-0.5,50-59,HS,0.382275815,Northeast,NY
28,1,White,-0.5,50-59,4-Year College,0.501176682,North Central,MI
29,0,White,0.5,30-39,Some college,0.6428513770000001,South,AR
30,1,White,-0.5,70+,HS,0.428584525,Northeast,CT
31,1,Other,-0.5,30-39,HS,0.6111147029999999,North Central,KS
32,1,White,-0.5,30-39,No HS,0.59818561,North Central,MO
33,0,Other,-0.5,30-39,HS,0.498029716,Northeast,NH
34,0,White,-0.5,18-29,4-Year College,0.506188355,South,FL
35,0,White,0.5,50-59,Post-grad,0.338717892,West,CA
36,0,Hispanic,0.5,40-49,HS,0.547132256,South,TX
37,1,White,-0.5,30-39,HS,0.471736237,South,VA
38,0,White,-0.5,30-39,HS,0.5037553579999999,Northeast,PA
39,1,Black,-0.5,60-69,Some college,0.6017167720000001,South,LA
40,0,White,-0.5,50-59,Post-grad,0.338717892,West,CA
41,1,White,0.5,60-69,Post-grad,0.501176682,North Central,MI
42,1,White,-0.5,50-59,Post-grad,0.338717892,West,CA
43,0,White,-0.5,60-69,Some college,0.41213068799999997,West,WA
44,0,Black,-0.5,60-69,4-Year College,0.519037458,South,NC
45,1,White,-0.5,30-39,Some college,0.547132256,South,TX
46,0,Hispanic,0.5,50-59,Some college,0.50407989,North Central,WI
47,1,Black,-0.5,60-69,Some college,0.519037458,South,NC
48,1,White,-0.5,40-49,Some college,0.41213068799999997,West,WA
49,0,Other,-0.5,18-29,Some college,0.338717892,West,CA
50,1,White,0.5,60-69,4-Year College,0.501176682,North Central,MI
51,1,Hispanic,-0.5,18-29,Some college,0.59818561,North Central,MO
52,0,White,-0.5,40-49,4-Year College,0.721610523,South,WV
53,0,White,-0.5,40-49,Some college,0.473166666,West,CO
54,0,Black,-0.5,60-69,Post-grad,0.42715809899999996,Northeast,NJ
55,0,White,-0.5,50-59,Post-grad,0.693047372,South,OK
56,0,White,-0.5,40-49,4-Year College,0.338717892,West,CA
57,0,White,-0.5,60-69,Some college,0.41213068799999997,West,WA
58,0,White,-0.5,50-59,No HS,0.50407989,North Central,WI
59,0,White,-0.5,70+,4-Year College,0.41213068799999997,West,WA
60,0,White,-0.5,60-69,Post-grad,0.518900234,West,AZ
61,1,White,0.5,60-69,4-Year College,0.338717892,West,CA
62,0,White,-0.5,70+,HS,0.487062906,West,NV
63,0,White,-0.5,30-39,Some college,0.382275815,Northeast,NY
64,1,White,0.5,30-39,Some college,0.471736237,South,VA
65,1,White,0.5,60-69,4-Year College,0.547132256,South,TX
66,1,White,-0.5,50-59,Post-grad,0.41213068799999997,West,WA
67,0,Other,-0.5,18-29,Post-grad,0.438441611,West,OR
68,1,White,-0.5,60-69,HS,0.501176682,North Central,MI
69,1,White,-0.5,30-39,Post-grad,0.506188355,South,FL
70,1,Black,-0.5,50-59,Post-grad,0.471736237,South,VA
71,0,White,0.5,60-69,Some college,0.41213068799999997,West,WA
72,1,White,-0.5,60-69,4-Year College,0.409799486,North Central,IL
73,0,White,-0.5,60-69,Some college,0.5266117260000001,South,GA
74,0,White,-0.5,50-59,Post-grad,0.5037553579999999,Northeast,PA
75,0,White,-0.5,70+,Post-grad,0.693047372,South,OK
76,1,Other,-0.5,30-39,Post-grad,0.498029716,Northeast,NH
77,1,Other,-0.5,18-29,Some college,0.547132256,South,TX
