,abortion,eth,male,age,educ,repvote,region,state
1,1,White,-0.5,60-69,4-Year College,0.50407989,North Central,WI
2,1,White,-0.5,60-69,HS,0.42715809899999996,Northeast,NJ
3,0,White,-0.5,40-49,HS,0.506188355,South,FL
4,1,White,0.5,70+,Some college,0.506188355,South,FL
5,0,White,-0.5,50-59,Some college,0.409799486,North Central,IL
6,0,Other,-0.5,18-29,Some college,0.693047372,South,OK
7,0,White,-0.5,60-69,Some college,0.506188355,South,FL
8,0,White,0.5,50-59,Post-grad,0.547132256,South,TX
9,0,White,-0.5,70+,4-Year College,0.506188355,South,FL
10,1,Hispanic,0.5,18-29,4-Year College,0.547132256,South,TX
11,1,Other,0.5,60-69,Post-grad,0.547132256,South,TX
12,0,White,-0.5,30-39,HS,0.382275815,Northeast,NY
13,1,White,-0.5,70+,4-Year College,0.547132256,South,TX
14,0,White,-0.5,30-39,Some college,0.50407989,North Central,WI
15,1,White,-0.5,30-39,4-Year College,0.506188355,South,FL
16,0,White,0.5,40-49,Some college,0.338717892,West,CA
17,0,White,-0.5,70+,4-Year College,0.473166666,West,CO
18,1,White,-0.5,30-39,HS,0.518900234,West,AZ
19,1,White,0.5,60-69,HS,0.65670629,South,KY
20,1,Hispanic,0.5,50-59,Some college,0.338717892,West,CA
21,0,White,-0.5,18-29,HS,0.35348721299999997,Northeast,MA
22,1,White,0.5,18-29,4-Year College,0.623836582,West,UT
23,0,White,-0.5,18-29,HS,0.382275815,Northeast,NY
24,0,White,-0.5,60-69,Post-grad,0.506188355,South,FL
25,0,White,0.5,50-59,Some college,0.382275815,Northeast,NY
26,1,White,-0.5,30-39,4-Year College,0.501176682,North Central,MI
27,0,White,0.5,60-69,4-Year College,0.41213068799999997,West,WA
28,0,Black,-0.5,30-39,4-Year College,0.63624343,South,TN
29,1,White,-0.5,40-49,HS,0.5037553579999999,Northeast,PA
30,1,White,-0.5,60-69,HS,0.721610523,South,WV
31,1,White,0.5,70+,Post-grad,0.693047372,South,OK
32,1,White,-0.5,18-29,Post-grad,0.409799486,North Central,IL
33,0,White,-0.5,70+,Some college,0.506188355,South,FL
34,0,White,-0.5,30-39,Post-grad,0.409799486,North Central,IL
35,0,White,-0.5,70+,4-Year College,0.338717892,West,CA
36,1,White,0.5,50-59,HS,0.611096643,West,MT
37,1,White,-0.5,40-49,Some college,0.63624343,South,TN
38,0,White,0.5,60-69,4-Year College,0.338717892,West,CA
39,0,Black,0.5,18-29,HS,0.6428513770000001,South,AR
40,1,Hispanic,-0.5,30-39,HS,0.41213068799999997,West,WA
41,1,White,-0.5,70+,No HS,0.547132256,South,TX
42,0,Black,-0.5,40-49,4-Year College,0.519037458,South,NC
43,0,Black,-0.5,60-69,Some college,0.506188355,South,FL
44,0,White,0.5,70+,4-Year College,0.440013786,South,DE
