,abortion,eth,male,age,educ,repvote,region,state
1,1,White,-0.5,70+,HS,0.590898473,South,MS
2,1,Other,-0.5,18-29,4-Year College,0.547132256,South,TX
3,1,White,-0.5,50-59,Post-grad,0.491681431,North Central,MN
4,1,White,0.5,50-59,Some college,0.35348721299999997,Northeast,MA
5,0,White,-0.5,50-59,4-Year College,0.42715809899999996,Northeast,NJ
6,0,White,-0.5,50-59,Post-grad,0.409799486,North Central,IL
7,1,White,-0.5,70+,HS,0.501176682,North Central,MI
8,0,White,-0.5,60-69,HS,0.5037553579999999,Northeast,PA
9,0,White,-0.5,50-59,HS,0.506188355,South,FL
10,0,White,0.5,60-69,Some college,0.547132256,South,TX
11,0,White,-0.5,60-69,Some college,0.338717892,West,CA
12,0,White,-0.5,40-49,Post-grad,0.542676846,North Central,OH
13,1,White,0.5,70+,4-Year College,0.501176682,North Central,MI
14,0,White,0.5,40-49,HS,0.338717892,West,CA
15,1,Black,-0.5,70+,4-Year College,0.501176682,North Central,MI
16,1,White,-0.5,50-59,Some college,0.50407989,North Central,WI
17,1,White,0.5,70+,Post-grad,0.547132256,South,TX
18,1,White,0.5,60-69,Some college,0.65670629,South,KY
19,0,White,0.5,18-29,Post-grad,0.382275815,Northeast,NY
20,0,White,0.5,70+,HS,0.506188355,South,FL
21,0,White,-0.5,60-69,HS,0.518900234,West,AZ
22,0,White,0.5,60-69,HS,0.42715809899999996,Northeast,NJ
23,0,White,0.5,70+,Post-grad,0.574602564,South,SC
24,1,White,-0.5,60-69,4-Year College,0.382275815,Northeast,NY
25,0,White,-0.5,50-59,HS,0.550635478,North Central,IA
26,0,White,0.5,40-49,Post-grad,0.63624343,South,TN
27,0,White,0.5,30-39,Some college,0.438441611,West,OR
28,1,White,0.5,70+,4-Year College,0.65670629,South,KY
29,1,White,-0.5,30-39,Some college,0.501176682,North Central,MI
30,0,White,0.5,60-69,Some college,0.409799486,North Central,IL
31,0,White,-0.5,50-59,4-Year College,0.5037553579999999,Northeast,PA
32,1,White,0.5,50-59,4-Year College,0.42715809899999996,Northeast,NJ
33,0,White,-0.5,60-69,HS,0.601173095,North Central,IN
34,1,White,-0.5,70+,HS,0.6111147029999999,North Central,KS
35,0,White,0.5,60-69,4-Year College,0.542676846,North Central,OH
36,0,White,0.5,60-69,HS,0.519037458,South,NC
37,1,White,-0.5,50-59,HS,0.5037553579999999,Northeast,PA
38,1,White,0.5,50-59,HS,0.5037553579999999,Northeast,PA
39,1,White,0.5,70+,Post-grad,0.325586625,West,HI
40,0,White,0.5,50-59,Some college,0.409799486,North Central,IL
41,0,White,-0.5,18-29,Some college,0.623836582,West,UT
42,1,Black,-0.5,40-49,Some college,0.590898473,South,MS
43,1,White,0.5,50-59,Some college,0.506188355,South,FL
44,1,Other,-0.5,50-59,4-Year College,0.338717892,West,CA
45,1,White,-0.5,70+,Post-grad,0.338717892,West,CA
46,0,White,-0.5,18-29,4-Year College,0.506188355,South,FL
47,0,White,-0.5,18-29,HS,0.440013786,South,DE
48,1,White,-0.5,50-59,Some college,0.5266117260000001,South,GA
49,0,Hispanic,-0.5,50-59,No HS,0.547132256,South,TX
50,0,White,0.5,70+,Post-grad,0.542676846,North Central,OH
51,1,White,-0.5,70+,HS,0.542676846,North Central,OH
52,1,White,-0.5,18-29,4-Year College,0.721610523,South,WV
53,1,White,0.5,60-69,Post-grad,0.35348721299999997,Northeast,MA
54,0,Black,-0.5,40-49,Some college,0.6017167720000001,South,LA
55,1,White,-0.5,50-59,4-Year College,0.506188355,South,FL
56,1,White,0.5,70+,Some college,0.6111147029999999,North Central,KS
57,1,White,0.5,70+,No HS,0.501176682,North Central,MI
58,0,White,-0.5,18-29,HS,0.5037553579999999,Northeast,PA
59,0,White,0.5,70+,HS,0.501176682,North Central,MI
60,1,White,-0.5,60-69,Some college,0.491681431,North Central,MN
61,1,White,-0.5,40-49,Post-grad,0.542676846,North Central,OH
62,1,White,0.5,50-59,4-Year College,0.50407989,North Central,WI
63,1,White,0.5,60-69,HS,0.501176682,North Central,MI
64,0,White,-0.5,30-39,Post-grad,0.63624343,South,TN
65,1,White,-0.5,70+,Some college,0.643741436,South,AL
66,0,White,-0.5,18-29,HS,0.5037553579999999,Northeast,PA
67,0,White,-0.5,18-29,Some college,0.519037458,South,NC
68,1,Black,0.5,50-59,4-Year College,0.471736237,South,VA
69,1,White,0.5,50-59,Some college,0.382275815,Northeast,NY
70,0,Black,0.5,50-59,HS,0.409799486,North Central,IL
71,1,White,0.5,30-39,No HS,0.519037458,South,NC
72,1,White,-0.5,70+,HS,0.601173095,North Central,IN
73,0,White,0.5,50-59,4-Year College,0.518900234,West,AZ
74,0,White,0.5,70+,4-Year College,0.428584525,Northeast,CT
75,0,White,-0.5,60-69,HS,0.484032089,Northeast,ME
76,1,Other,-0.5,18-29,Some college,0.698092429,North Central,ND
77,1,Black,-0.5,70+,4-Year College,0.338717892,West,CA
78,0,White,-0.5,70+,4-Year College,0.5037553579999999,Northeast,PA
79,0,White,-0.5,18-29,Post-grad,0.409799486,North Central,IL
80,1,White,-0.5,70+,HS,0.5037553579999999,Northeast,PA
81,0,White,0.5,30-39,Post-grad,0.5037553579999999,Northeast,PA
82,0,White,0.5,60-69,HS,0.574602564,South,SC
83,1,White,-0.5,60-69,HS,0.5266117260000001,South,GA
84,1,White,-0.5,60-69,4-Year College,0.547132256,South,TX
85,1,Other,0.5,50-59,HS,0.547132256,South,TX
86,0,White,-0.5,18-29,4-Year College,0.428584525,Northeast,CT
87,1,White,-0.5,18-29,Some college,0.547132256,South,TX
88,0,White,0.5,70+,4-Year College,0.63624343,South,TN
89,0,White,-0.5,40-49,Post-grad,0.473166666,West,CO
90,0,White,0.5,60-69,Post-grad,0.547132256,South,TX
91,0,Black,-0.5,60-69,Some college,0.506188355,South,FL
92,0,White,-0.5,60-69,HS,0.721610523,South,WV
93,0,White,-0.5,70+,4-Year College,0.487062906,West,NV
94,1,White,0.5,40-49,HS,0.643741436,South,AL
95,1,White,0.5,30-39,Some college,0.41213068799999997,West,WA
96,1,White,-0.5,18-29,HS,0.506188355,South,FL
97,0,White,0.5,30-39,Post-grad,0.65670629,South,KY
98,1,White,0.5,60-69,Some college,0.506188355,South,FL
99,1,White,0.5,70+,4-Year College,0.5037553579999999,Northeast,PA
100,1,White,-0.5,30-39,Post-grad,0.590898473,South,MS
101,0,Black,-0.5,60-69,Some college,0.409799486,North Central,IL
102,1,White,0.5,50-59,4-Year College,0.501176682,North Central,MI
103,0,Other,0.5,60-69,4-Year College,0.550635478,North Central,IA
104,0,White,-0.5,50-59,HS,0.506188355,South,FL
105,1,White,-0.5,50-59,Some college,0.473166666,West,CO
106,1,White,-0.5,70+,HS,0.35983750299999995,South,MD
107,0,White,0.5,60-69,HS,0.63624343,South,TN
108,0,White,0.5,70+,HS,0.338717892,West,CA
109,0,White,0.5,40-49,Some college,0.506188355,South,FL
110,0,White,-0.5,50-59,HS,0.428584525,Northeast,CT
111,1,White,-0.5,70+,HS,0.501176682,North Central,MI
112,1,White,-0.5,60-69,HS,0.5037553579999999,Northeast,PA
113,0,White,-0.5,70+,Post-grad,0.382275815,Northeast,NY
114,0,Black,0.5,60-69,HS,0.506188355,South,FL
115,0,White,-0.5,50-59,Some college,0.409799486,North Central,IL
116,0,Other,-0.5,18-29,HS,0.473166666,West,CO
117,1,White,-0.5,50-59,Some college,0.518900234,West,AZ
118,0,White,0.5,40-49,HS,0.491681431,North Central,MN
119,0,White,-0.5,60-69,HS,0.50407989,North Central,WI
120,1,White,-0.5,70+,HS,0.574602564,South,SC
121,1,White,0.5,60-69,4-Year College,0.6017167720000001,South,LA
122,0,Other,-0.5,30-39,4-Year College,0.35348721299999997,Northeast,MA
123,1,White,0.5,40-49,Post-grad,0.518900234,West,AZ
124,1,White,0.5,40-49,HS,0.506188355,South,FL
125,1,White,0.5,50-59,HS,0.65670629,South,KY
