"","state","mrp_estimate","mrp_estimate_se","sample_cces_estimate","sample_cces_estimate_se","full_cces_estimate","full_cces_estimate_se","n_sample","n_full"
"1","AL",0.504154106595724,0.0376516025782887,0.480519480519481,0.056937024833522,0.536559139784946,0.0163517592785432,77,930
"2","AK",0.448575686595453,0.0510197738976867,0.461538461538462,0.13826415911891,0.556701030927835,0.0504398174710475,13,97
"3","AZ",0.463021751441939,0.0329661766832631,0.496402877697842,0.0424083489736407,0.443604284814115,0.012471000344635,139,1587
"4","AR",0.514703165332135,0.0420765277852818,0.478260869565217,0.0736512655530365,0.529750479846449,0.0218665867922764,46,521
"5","CA",0.378287436807201,0.0219314813567943,0.376681614349776,0.0229442967385472,0.354857034652528,0.00658410288750127,446,5281
"6","CO",0.414391863459778,0.0367871654664753,0.428571428571429,0.0518766456573259,0.425870646766169,0.0155977048633481,91,1005
"7","CT",0.348958870624382,0.0438313782964646,0.260869565217391,0.0647430767090499,0.35249621785174,0.0185822224940097,46,661
"8","DE",0.449096802441667,0.0467030069324325,0.5,0.106600358177805,0.423255813953488,0.0336956508067925,22,215
"9","FL",0.393892786943645,0.0243325089263397,0.372602739726027,0.0253074215155606,0.44406625822555,0.00748451872484602,365,4407
"10","GA",0.524451953172139,0.0334572230910862,0.579268292682927,0.0385496621236604,0.517940717628705,0.0113946400316711,164,1923
"11","HI",0.346587670874464,0.0492192537458033,0.333333333333333,0.121716123890037,0.288461538461538,0.0314131494461271,15,208
"12","ID",0.452859629813836,0.0520622337749408,0.324324324324324,0.0769587564123648,0.513119533527697,0.0269881670345251,37,343
"13","IL",0.397309574247069,0.0286949739412627,0.394230769230769,0.033884196865552,0.401737691352917,0.00997192000264949,208,2417
"14","IN",0.447471332457206,0.0358112730036364,0.407766990291262,0.0484209968016231,0.480173035328046,0.0134149807970445,103,1387
"15","IA",0.448194620100227,0.0410823825675615,0.404255319148936,0.0715828572264082,0.403636363636364,0.0209203706549285,47,550
